## date = '2019-05-05 17:58:04.913554'
## execstr = '/anaconda3/envs/riboseq/bin/metagene count genome/chrM_orfs_stop_rois_ND6.txt data/metagene/WT_1/WT_1 --count_files data/mapping/WT_1.bam --threeprime --norm_region 30 100 --min_counts 1 --cmap Blues'
## args = {  
##          'big_genome'       : False,,
##          'cmap'             : 'Blues',,
##          'count_files'      : ['data/mapping/WT_1.bam'],,
##          'countfile_format' : 'BAM',,
##          'dpi'              : 150,,
##          'figformat'        : 'png',,
##          'figsize'          : None,,
##          'keep'             : False,,
##          'landmark'         : None,,
##          'mapping'          : 'threeprime',,
##          'max_length'       : 100,,
##          'maxmem'           : 0,,
##          'min_counts'       : 1,,
##          'min_length'       : 25,,
##          'nibble'           : 0,,
##          'norm_region'      : [30, 100],,
##          'normalize_over'   : None,,
##          'offset'           : 0,,
##          'outbase'          : 'data/metagene/WT_1/WT_1',,
##          'program'          : 'count',,
##          'roi_file'         : 'genome/chrM_orfs_stop_rois_ND6.txt',,
##          'stylesheet'       : None,,
##          'sum'              : None,,
##          'title'            : None,,
##          'use_mean'         : False,,
##          'warnlevel'        : 0,
##        }
x	metagene_average	regions_counted
-100	0.0	1
-99	0.00641025641025641	1
-98	0.00641025641025641	1
-97	0.0	1
-96	0.0	1
-95	0.019230769230769232	1
-94	0.02564102564102564	1
-93	0.22435897435897437	1
-92	0.23717948717948717	1
-91	0.08333333333333333	1
-90	0.00641025641025641	1
-89	0.0	1
-88	0.019230769230769232	1
-87	0.00641025641025641	1
-86	0.00641025641025641	1
-85	0.0	1
-84	0.04487179487179487	1
-83	0.0	1
-82	0.0	1
-81	0.00641025641025641	1
-80	0.0	1
-79	0.0	1
-78	0.0	1
-77	0.0	1
-76	0.02564102564102564	1
-75	0.0	1
-74	0.0641025641025641	1
-73	0.0	1
-72	0.0	1
-71	0.0641025641025641	1
-70	0.0	1
-69	0.01282051282051282	1
-68	0.00641025641025641	1
-67	0.0	1
-66	0.0	1
-65	0.01282051282051282	1
-64	0.00641025641025641	1
-63	0.03205128205128205	1
-62	0.0	1
-61	0.0	1
-60	0.0	1
-59	0.0	1
-58	0.0	1
-57	0.0	1
-56	0.0	1
-55	0.0	1
-54	0.00641025641025641	1
-53	0.04487179487179487	1
-52	0.0	1
-51	0.0	1
-50	0.03205128205128205	1
-49	0.0	1
-48	0.0	1
-47	0.02564102564102564	1
-46	0.00641025641025641	1
-45	0.0	1
-44	0.0	1
-43	0.00641025641025641	1
-42	0.00641025641025641	1
-41	0.0	1
-40	0.0	1
-39	0.01282051282051282	1
-38	0.00641025641025641	1
-37	0.0	1
-36	0.0	1
-35	0.00641025641025641	1
-34	0.0	1
-33	0.14743589743589744	1
-32	0.07692307692307693	1
-31	0.03205128205128205	1
-30	0.02564102564102564	1
-29	0.038461538461538464	1
-28	0.0	1
-27	0.00641025641025641	1
-26	0.0	1
-25	0.00641025641025641	1
-24	0.019230769230769232	1
-23	0.00641025641025641	1
-22	0.0	1
-21	0.0	1
-20	0.019230769230769232	1
-19	0.0	1
-18	0.0641025641025641	1
-17	0.0	1
-16	0.03205128205128205	1
-15	0.0	1
-14	0.0	1
-13	0.00641025641025641	1
-12	0.04487179487179487	1
-11	0.019230769230769232	1
-10	0.00641025641025641	1
-9	0.0	1
-8	0.01282051282051282	1
-7	0.0	1
-6	0.0	1
-5	0.03205128205128205	1
-4	0.07692307692307693	1
-3	0.0641025641025641	1
-2	0.03205128205128205	1
-1	0.00641025641025641	1
0	0.0	1
1	0.00641025641025641	1
2	0.057692307692307696	1
3	0.00641025641025641	1
4	0.03205128205128205	1
5	0.0	1
6	0.0	1
7	0.04487179487179487	1
8	0.0	1
9	0.11538461538461539	1
10	0.038461538461538464	1
11	0.0	1
12	0.00641025641025641	1
13	0.0	1
14	0.00641025641025641	1
15	0.14102564102564102	1
16	0.0	1
17	0.0	1
18	0.0	1
19	0.0	1
20	0.0	1
21	0.00641025641025641	1
22	0.00641025641025641	1
23	0.0	1
24	0.00641025641025641	1
25	0.0	1
26	0.0	1
27	0.00641025641025641	1
28	0.0	1
29	0.0	1
30	0.00641025641025641	1
31	0.0	1
32	0.00641025641025641	1
33	0.0	1
34	0.0	1
35	0.0	1
36	0.00641025641025641	1
37	0.0	1
38	0.0	1
39	0.0	1
40	0.0	1
41	0.0	1
42	0.0	1
43	0.0	1
44	0.0	1
45	0.0	1
46	0.00641025641025641	1
47	0.0	1
48	0.0	1
49	0.0	1
50	0.0	1
51	0.01282051282051282	1
52	0.0	1
53	0.0	1
54	0.0	1
55	0.00641025641025641	1
56	0.0	1
57	0.0	1
58	0.0	1
59	0.00641025641025641	1
60	0.0	1
61	0.0	1
62	0.0	1
63	0.0	1
64	0.0	1
65	0.0	1
66	0.0	1
67	0.0	1
68	0.0	1
69	0.0	1
70	0.0	1
71	0.019230769230769232	1
72	0.0	1
73	0.0	1
74	0.0	1
75	0.0	1
76	0.0	1
77	0.0	1
78	0.0	1
79	0.0	1
80	0.0	1
81	0.0	1
82	0.0	1
83	0.0	1
84	0.0	1
85	0.00641025641025641	1
86	0.0	1
87	0.0	1
88	0.0	1
89	0.0	1
90	0.00641025641025641	1
91	0.0	1
92	0.0	1
93	0.0	1
94	0.0	1
95	0.0	1
96	0.0	1
97	0.0	1
98	0.0	1
99	0.019230769230769232	1
