Ensembl Gene ID	Ensembl Transcript ID	Ensembl Protein ID	Start_bp	End_bp	Strand	Transcript_Start_bp	Transcript_End_bp	Transcription Start Site (TSS)	GeneType	alignID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	WikiGene Name	AssociatedGeneName	UCSC_id	Complex
ENSG00000198840	ENST00000361227	ENSP00000355206	10059	10404	1	10059	10404	10059	protein_coding	ENST00000361227.2	chrM	+	10058	10404	10058	10404	1	"10058,"	"10404,"	Q7GXZ5	ND3	MT-ND3	uc022bqu.3	I
ENSG00000212907	ENST00000361335	ENSP00000354728	10470	10766	1	10470	10766	10470	protein_coding	ENST00000361335.1	chrM	+	10469	10766	10469	10766	1	"10469,"	"10766,"	Q7GXZ4	ND4L	MT-ND4L	uc033dmm.2	I
ENSG00000198886	ENST00000361381	ENSP00000354961	10760	12137	1	10760	12137	10760	protein_coding	ENST00000361381.2	chrM	+	10759	12137	10759	12137	1	"10759,"	"12137,"	P03905	ND4	MT-ND4	uc064xpj.1	I
ENSG00000198888	ENST00000361390	ENSP00000354687	3307	4262	1	3307	4262	3307	protein_coding	ENST00000361390.2	chrM	+	3306	4262	3306	4262	1	"3306,"	"4262,"	U5Z754	ND1	MT-ND1	uc064xou.1	I
ENSG00000198763	ENST00000361453	ENSP00000355046	4470	5511	1	4470	5511	4470	protein_coding	ENST00000361453.3	chrM	+	4469	5511	4469	5511	1	"4469,"	"5511,"	Q7GXY9	ND2	MT-ND2	uc064xox.1	I
ENSG00000198786	ENST00000361567	ENSP00000354813	12337	14148	1	12337	14148	12337	protein_coding	ENST00000361567.2	chrM	+	12336	14148	12336	14148	1	"12336,"	"14148,"	U5ZC31	ND5	MT-ND5	uc004cox.6	I
ENSG00000198804	ENST00000361624	ENSP00000354499	5904	7445	1	5904	7445	5904	protein_coding	ENST00000361624.2	chrM	+	5903	7445	5903	7445	1	"5903,"	"7445,"	U5YWV7	COX1	MT-CO1	uc031tga.3	IV
ENSG00000198695	ENST00000361681	ENSP00000354665	14149	14673	-1	14149	14673	14673	protein_coding	ENST00000361681.2	chrM	-	14148	14673	14148	14673	1	"14148,"	"14673,"	U5Z977	ND6	MT-ND6	uc064xpm.1	I
ENSG00000198712	ENST00000361739	ENSP00000354876	7586	8269	1	7586	8269	7586	protein_coding	ENST00000361739.1	chrM	+	7585	8269	7585	8269	1	"7585,"	"8269,"	U5Z487	COX2	MT-CO2	uc064xpd.1	IV
ENSG00000198727	ENST00000361789	ENSP00000354554	14747	15887	1	14747	15887	14747	protein_coding	ENST00000361789.2	chrM	+	14746	15887	14746	15887	1	"14746,"	"15887,"	Q0ZFD6	CYTB	MT-CYB	uc033dmn.2	III
ENSG00000228253	ENST00000361851	ENSP00000355265	8366	8572	1	8366	8572	8366	protein_coding	ENST00000361851.1	chrM	+	8365	8572	8365	8572	1	"8365,"	"8572,"	U5YV54	ATP8	MT-ATP8	uc064xpe.1	V
ENSG00000198899	ENST00000361899	ENSP00000354632	8527	9207	1	8527	9207	8527	protein_coding	ENST00000361899.2	chrM	+	8526	9207	8526	9207	1	"8526,"	"9207,"	Q0ZFE3	ATP6	MT-ATP6	uc064xpf.1	V
